Region,Year,Population
Stockholm,2010,2054343
Stockholm,2011,2091473
Stockholm,2012,2127006
Stockholm,2013,2163042
Stockholm,2014,2198044
Stockholm,2015,2231439
Stockholm,2016,2269060
Stockholm,2017,2308143
Stockholm,2018,2344124
Stockholm,2019,2377081
Stockholm,2020,2391990
Stockholm,2021,2415139
Stockholm,2022,2440027
Stockholm,2023,2454821
Stockholm,2024,2473307
Uppsala,2010,335882
Uppsala,2011,338630
Uppsala,2012,341977
Uppsala,2013,345481
Uppsala,2014,348942
Uppsala,2015,354164
Uppsala,2016,361373
Uppsala,2017,368971
Uppsala,2018,376354
Uppsala,2019,383713
Uppsala,2020,388394
Uppsala,2021,395026
Uppsala,2022,400682
Uppsala,2023,404589
Uppsala,2024,407912
Södermanland,2010,270738
Södermanland,2011,272563
Södermanland,2012,274723
Södermanland,2013,277569
Södermanland,2014,280666
Södermanland,2015,283712
Södermanland,2016,288097
Södermanland,2017,291341
Södermanland,2018,294695
Södermanland,2019,297540
Södermanland,2020,299401
Södermanland,2021,301801
Södermanland,2022,302566
Södermanland,2023,301944
Södermanland,2024,301542
Östergötland,2010,429642
Östergötland,2011,431075
Östergötland,2012,433784
Östergötland,2013,437848
Östergötland,2014,442105
Östergötland,2015,445661
Östergötland,2016,452105
Östergötland,2017,457496
Östergötland,2018,461583
Östergötland,2019,465495
Östergötland,2020,467158
Östergötland,2021,469704
Östergötland,2022,471912
Östergötland,2023,472298
Östergötland,2024,472446
Jönköping,2010,336866
Jönköping,2011,337896
Jönköping,2012,339116
Jönköping,2013,341235
Jönköping,2014,344262
Jönköping,2015,347837
Jönköping,2016,352735
Jönköping,2017,357237
Jönköping,2018,360825
Jönköping,2019,363599
Jönköping,2020,365010
Jönköping,2021,367064
Jönköping,2022,369113
Jönköping,2023,368856
Jönköping,2024,370009
Kronoberg,2010,183940
Kronoberg,2011,184654
Kronoberg,2012,185887
Kronoberg,2013,187156
Kronoberg,2014,189128
Kronoberg,2015,191369
Kronoberg,2016,194628
Kronoberg,2017,197519
Kronoberg,2018,199886
Kronoberg,2019,201469
Kronoberg,2020,202263
Kronoberg,2021,203340
Kronoberg,2022,204335
Kronoberg,2023,203686
Kronoberg,2024,203351
Kalmar,2010,233536
Kalmar,2011,233090
Kalmar,2012,233548
Kalmar,2013,233874
Kalmar,2014,235598
Kalmar,2015,237679
Kalmar,2016,242301
Kalmar,2017,243536
Kalmar,2018,244670
Kalmar,2019,245446
Kalmar,2020,246010
Kalmar,2021,247175
Kalmar,2022,247711
Kalmar,2023,246667
Kalmar,2024,246352
Gotland,2010,57269
Gotland,2011,57308
Gotland,2012,57241
Gotland,2013,57161
Gotland,2014,57255
Gotland,2015,57391
Gotland,2016,58003
Gotland,2017,58595
Gotland,2018,59249
Gotland,2019,59686
Gotland,2020,60124
Gotland,2021,61001
Gotland,2022,61173
Gotland,2023,61029
Gotland,2024,60971
Blekinge,2010,153227
Blekinge,2011,152979
Blekinge,2012,152315
Blekinge,2013,152757
Blekinge,2014,154157
Blekinge,2015,156253
Blekinge,2016,158453
Blekinge,2017,159371
Blekinge,2018,159684
Blekinge,2019,159606
Blekinge,2020,159056
Blekinge,2021,158937
Blekinge,2022,158740
Blekinge,2023,157973
Blekinge,2024,157223
Skåne,2010,1243329
Skåne,2011,1252933
Skåne,2012,1263088
Skåne,2013,1274069
Skåne,2014,1288908
Skåne,2015,1303627
Skåne,2016,1324565
Skåne,2017,1344689
Skåne,2018,1362164
Skåne,2019,1377827
Skåne,2020,1389336
Skåne,2021,1402425
Skåne,2022,1414324
Skåne,2023,1421781
Skåne,2024,1428626
Halland,2010,299484
Halland,2011,301724
Halland,2012,304116
Halland,2013,306840
Halland,2014,310665
Halland,2015,314784
Halland,2016,320333
Halland,2017,324825
Halland,2018,329352
Halland,2019,333848
Halland,2020,336748
Halland,2021,340243
Halland,2022,342805
Halland,2023,343746
Halland,2024,345074
Västra Götaland,2010,1580297
Västra Götaland,2011,1590604
Västra Götaland,2012,1600447
Västra Götaland,2013,1615084
Västra Götaland,2014,1632012
Västra Götaland,2015,1648682
Västra Götaland,2016,1671783
Västra Götaland,2017,1690782
Västra Götaland,2018,1709814
Västra Götaland,2019,1725881
Västra Götaland,2020,1734443
Västra Götaland,2021,1744859
Västra Götaland,2022,1758656
Västra Götaland,2023,1767016
Västra Götaland,2024,1772821
Värmland,2010,273265
Värmland,2011,272736
Värmland,2012,273080
Värmland,2013,273815
Värmland,2014,274691
Värmland,2015,275904
Värmland,2016,279334
Värmland,2017,280399
Värmland,2018,281482
Värmland,2019,282414
Värmland,2020,282885
Värmland,2021,283196
Värmland,2022,283976
Värmland,2023,283548
Värmland,2024,283384
Örebro,2010,280230
Örebro,2011,281572
Örebro,2012,283113
Örebro,2013,285395
Örebro,2014,288150
Örebro,2015,291012
Örebro,2016,294941
Örebro,2017,298907
Örebro,2018,302252
Örebro,2019,304805
Örebro,2020,305643
Örebro,2021,306792
Örebro,2022,307772
Örebro,2023,308116
Örebro,2024,308375
Västmanland,2010,252756
Västmanland,2011,254257
Västmanland,2012,256224
Västmanland,2013,259054
Västmanland,2014,261703
Västmanland,2015,264276
Västmanland,2016,267629
Västmanland,2017,271095
Västmanland,2018,273929
Västmanland,2019,275845
Västmanland,2020,277141
Västmanland,2021,278967
Västmanland,2022,280713
Västmanland,2023,280813
Västmanland,2024,281158
Dalarna,2010,277047
Dalarna,2011,276565
Dalarna,2012,276555
Dalarna,2013,277349
Dalarna,2014,278903
Dalarna,2015,281028
Dalarna,2016,284531
Dalarna,2017,286165
Dalarna,2018,287191
Dalarna,2019,287966
Dalarna,2020,287676
Dalarna,2021,288387
Dalarna,2022,288310
Dalarna,2023,287253
Dalarna,2024,286546
Gävleborg,2010,276508
Gävleborg,2011,276130
Gävleborg,2012,276637
Gävleborg,2013,277970
Gävleborg,2014,279991
Gävleborg,2015,281815
Gävleborg,2016,284586
Gävleborg,2017,285637
Gävleborg,2018,286547
Gävleborg,2019,287382
Gävleborg,2020,287502
Gävleborg,2021,287767
Gävleborg,2022,287334
Gävleborg,2023,285642
Gävleborg,2024,284558
Västernorrland,2010,242625
Västernorrland,2011,242155
Västernorrland,2012,241981
Västernorrland,2013,242156
Västernorrland,2014,243061
Västernorrland,2015,243897
Västernorrland,2016,245572
Västernorrland,2017,245968
Västernorrland,2018,245453
Västernorrland,2019,245347
Västernorrland,2020,244554
Västernorrland,2021,244193
Västernorrland,2022,243265
Västernorrland,2023,242148
Västernorrland,2024,241458
Jämtland,2010,126691
Jämtland,2011,126299
Jämtland,2012,126201
Jämtland,2013,126461
Jämtland,2014,126765
Jämtland,2015,127376
Jämtland,2016,128673
Jämtland,2017,129806
Jämtland,2018,130280
Jämtland,2019,130810
Jämtland,2020,131155
Jämtland,2021,132054
Jämtland,2022,132670
Jämtland,2023,132572
Jämtland,2024,132839
Västerbotten,2010,259286
Västerbotten,2011,259667
Västerbotten,2012,260217
Västerbotten,2013,261112
Västerbotten,2014,262362
Västerbotten,2015,263378
Västerbotten,2016,265881
Västerbotten,2017,268465
Västerbotten,2018,270154
Västerbotten,2019,271736
Västerbotten,2020,273192
Västerbotten,2021,274563
Västerbotten,2022,276295
Västerbotten,2023,278729
Västerbotten,2024,281138
Norrbotten,2010,248609
Norrbotten,2011,248545
Norrbotten,2012,248637
Norrbotten,2013,249436
Norrbotten,2014,249987
Norrbotten,2015,249733
Norrbotten,2016,250570
Norrbotten,2017,251295
Norrbotten,2018,250497
Norrbotten,2019,250093
Norrbotten,2020,249614
Norrbotten,2021,249693
Norrbotten,2022,249177
Norrbotten,2023,248480
Norrbotten,2024,248620
